127.0.0.1 - - [16/Sep/2024:16:00:40 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:41 +0700] "GET /DiamonShop/ HTTP/1.1" 200 28290
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:42 +0700] "GET /DiamonShop/assets/img/bootstrap-ecommerce-templates.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:42 +0700] "GET /DiamonShop/assets/user/img/paypal.jpg HTTP/1.1" 200 28395
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:42 +0700] "GET /DiamonShop/assets/user/font-awesome/css/font-awesome.css HTTP/1.1" 200 27232
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:42 +0700] "GET /DiamonShop/assets/user/js/jquery.js HTTP/1.1" 200 94839
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:42 +0700] "GET /DiamonShop/assets/user/img/logo-bootstrap-shoping-cart.png HTTP/1.1" 200 10547
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:42 +0700] "GET /DiamonShop/assets/user/style.css HTTP/1.1" 200 7801
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:42 +0700] "GET /DiamonShop/assets/user/css/bootstrap.css/ HTTP/1.1" 200 127343
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:42 +0700] "GET /DiamonShop/assets/user/img/bootstrap-template.png HTTP/1.1" 200 31994
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:42 +0700] "GET /DiamonShop/assets/user/js/bootstrap.min.js HTTP/1.1" 200 28631
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:42 +0700] "GET /DiamonShop/assets/img/shopping-cart-template.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:42 +0700] "GET /DiamonShop/assets/user/js/jquery.easing-1.3.min.js HTTP/1.1" 200 3436
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:42 +0700] "GET /DiamonShop/assets/user/js/shop.js HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:42 +0700] "GET /DiamonShop/assets/user/js/jquery.scrollTo-1.4.3.1-min.js HTTP/1.1" 200 2434
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:42 +0700] "GET /DiamonShop/assets/user/img/slide/carousel1.png HTTP/1.1" 200 62632
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:42 +0700] "GET /DiamonShop/assets/user/img/slide/carousel3.png HTTP/1.1" 200 65666
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:42 +0700] "GET /DiamonShop/assets/user/img/slide/bootstrap-templates.png HTTP/1.1" 200 44919
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:42 +0700] "GET /DiamonShop/assets/user/img/g.jpg HTTP/1.1" 200 31481
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:42 +0700] "GET /DiamonShop/assets/user/img/b.jpg HTTP/1.1" 200 58795
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:42 +0700] "GET /DiamonShop/assets/user/img/c.jpg HTTP/1.1" 200 46325
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:42 +0700] "GET /DiamonShop/assets/user/img/slide/bootstrap_free-ecommerce.png HTTP/1.1" 200 57764
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:42 +0700] "GET /DiamonShop/assets/img/1.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:42 +0700] "GET /DiamonShop/assets/user/img/a.jpg HTTP/1.1" 200 53862
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:42 +0700] "GET /DiamonShop/assets/img/4.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:42 +0700] "GET /DiamonShop/assets/img/2.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:42 +0700] "GET /DiamonShop/assets/img/3.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:42 +0700] "GET /DiamonShop/assets/img/5.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:42 +0700] "GET /DiamonShop/assets/img/6.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:42 +0700] "GET /DiamonShop/assets/img/maestro.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:42 +0700] "GET /DiamonShop/assets/img/mc.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:42 +0700] "GET /DiamonShop/assets/img/pp.png HTTP/1.1" 404 604
