127.0.0.1 - - [03/Oct/2024:13:24:07 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:24:08 +0700] "GET /DiamonShop/ HTTP/1.1" 200 23413
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:24:08 +0700] "GET /DiamonShop/assets/user/assets/img/white_leather.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:24:09 +0700] "GET /DiamonShop/san-pham/1 HTTP/1.1" 500 4256
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:24:09 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:25:20 +0700] "GET /DiamonShop/san-pham/1 HTTP/1.1" 200 6451
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:25:26 +0700] "GET /DiamonShop/san-pham/1/3 HTTP/1.1" 200 5746
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:25:27 +0700] "GET /DiamonShop/san-pham/1/2 HTTP/1.1" 200 6451
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:25:29 +0700] "GET /DiamonShop/san-pham/1/1 HTTP/1.1" 200 6451
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:26:11 +0700] "GET /DiamonShop/san-pham/1/1 HTTP/1.1" 200 6451
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:26:13 +0700] "GET /DiamonShop/san-pham/1/1 HTTP/1.1" 200 6451
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:26:20 +0700] "GET /DiamonShop/ HTTP/1.1" 200 23411
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:26:22 +0700] "GET /DiamonShop/san-pham/1 HTTP/1.1" 200 6451
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:26:50 +0700] "GET /DiamonShop/san-pham/1 HTTP/1.1" 200 6451
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:26:53 +0700] "GET /DiamonShop/san-pham/1 HTTP/1.1" 200 6451
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:26:59 +0700] "GET /DiamonShop/ HTTP/1.1" 200 23413
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:27:01 +0700] "GET /DiamonShop/san-pham/1 HTTP/1.1" 200 11847
